query_id,regime,method,summary_false_negative_clusters,certified,proof_ok_without_oracle,bound_ok,visible_ok,order_ok,truncation_ok,unprocessed_possible_clusters,oracle_exact,returned,processed_clusters,visited_clusters
0,broad,PACER-A,0,0,1,1,1,1,0,51,1,10,13,13
0,broad,PACER-X,0,1,1,1,1,1,1,0,1,10,64,64
0,broad,PACER-NoSummary,0,0,1,1,1,1,0,58,1,10,6,6
1,medium,PACER-A,0,1,1,1,1,1,1,0,1,10,64,55
1,medium,PACER-X,0,1,1,1,1,1,1,0,1,10,64,55
1,medium,PACER-NoSummary,0,0,1,1,1,1,0,49,0,10,6,6
2,narrow,PACER-A,0,1,1,1,1,1,1,0,1,8,55,4
2,narrow,PACER-X,0,1,1,1,1,1,1,0,1,8,55,4
2,narrow,PACER-NoSummary,0,0,1,1,1,1,0,3,0,2,5,5
3,cold,PACER-A,0,1,1,1,1,1,1,0,1,5,48,3
3,cold,PACER-X,0,1,1,1,1,1,1,0,1,5,48,3
3,cold,PACER-NoSummary,0,0,1,1,1,1,0,2,0,3,6,6
4,broad,PACER-A,0,0,1,1,1,1,0,53,0,10,11,11
4,broad,PACER-X,0,1,1,1,1,1,1,0,1,10,64,64
4,broad,PACER-NoSummary,0,0,1,1,1,1,0,57,0,10,7,7
5,medium,PACER-A,0,1,1,1,1,1,1,0,1,10,64,57
5,medium,PACER-X,0,1,1,1,1,1,1,0,1,10,64,57
5,medium,PACER-NoSummary,0,0,1,1,1,1,0,52,0,10,5,5
6,narrow,PACER-A,0,1,1,1,1,1,1,0,1,7,47,7
6,narrow,PACER-X,0,1,1,1,1,1,1,0,1,7,47,7
6,narrow,PACER-NoSummary,0,0,1,1,1,1,0,6,0,1,6,6
7,cold,PACER-A,0,1,1,1,1,1,1,0,1,10,48,7
7,cold,PACER-X,0,1,1,1,1,1,1,0,1,10,48,7
7,cold,PACER-NoSummary,0,0,1,1,1,1,0,4,0,5,5,5
8,broad,PACER-A,0,0,1,1,1,1,0,55,0,10,9,9
8,broad,PACER-X,0,1,1,1,1,1,1,0,1,10,64,64
8,broad,PACER-NoSummary,0,0,1,1,1,1,0,59,0,10,5,5
9,medium,PACER-A,0,1,1,1,1,1,1,0,1,10,64,60
9,medium,PACER-X,0,1,1,1,1,1,1,0,1,10,64,60
9,medium,PACER-NoSummary,0,0,1,1,1,1,0,55,0,10,5,5
10,narrow,PACER-A,0,1,1,1,1,1,1,0,1,10,62,6
10,narrow,PACER-X,0,1,1,1,1,1,1,0,1,10,62,6
10,narrow,PACER-NoSummary,0,0,1,1,1,1,0,5,0,2,5,5
11,cold,PACER-A,0,1,1,1,1,1,1,0,1,2,42,2
11,cold,PACER-X,0,1,1,1,1,1,1,0,1,2,42,2
