query_id,kind,epoch,visible_count,sql_shape
0,dnf,6,249,"(((tenant IN (4,8,18,19,22) AND region IN (1,2,3)) OR (dtype IN (0,1) AND sensitivity <= 1)) AND (provenance & 32) <> 0 AND delete_epoch > 6)"
1,semijoin,3,194,"(auth_group IN (6,10,11,22,24,27,30) AND (provenance & 1024) <> 0 AND sensitivity <= 3 AND delete_epoch > 3)"
2,antijoin,3,1682,"(tenant IN (0,1,4,6,9,16,18,20,22) AND deny_group NOT IN (0,1,2,6) AND sensitivity <= 2 AND delete_epoch > 3)"
3,range,7,530,(quality_bin >= 0 AND quality_bin <= 1 AND region IN (2) AND delete_epoch > 7)
4,mixed,8,1907,((tenant eq 7 OR region eq 5 OR (provenance & 64) <> 0) AND (NOT deny_group IN (2)) AND delete_epoch > 8)
5,dnf,3,317,"(((tenant IN (0,11,12,14,21,23) AND region IN (0,4,5)) OR (dtype IN (0,4) AND sensitivity <= 2)) AND (provenance & 128) <> 0 AND delete_epoch > 3)"
6,semijoin,3,196,"(auth_group IN (1,3,6,11,21,27,31) AND (provenance & 2048) <> 0 AND sensitivity <= 3 AND delete_epoch > 3)"
7,antijoin,7,2228,"(tenant IN (2,6,7,8,12,15,16,19,20) AND deny_group NOT IN (7,10,17,18) AND sensitivity <= 2 AND delete_epoch > 7)"
8,range,7,526,(quality_bin >= 0 AND quality_bin <= 1 AND region IN (4) AND delete_epoch > 7)
9,mixed,7,2314,((tenant eq 4 OR region eq 2 OR (provenance & 8) <> 0) AND (NOT deny_group IN (8)) AND delete_epoch > 7)
10,dnf,4,412,"(((tenant IN (2,4,10,17,22) AND region IN (0,2,3,5)) OR (dtype IN (0,1,3) AND sensitivity <= 1)) AND (provenance & 16) <> 0 AND delete_epoch > 4)"
11,semijoin,7,172,"(auth_group IN (10,12,13,18,19,21,29) AND (provenance & 64) <> 0 AND sensitivity <= 3 AND delete_epoch > 7)"
